product_category_name_english,order_count,item_count,product_count,seller_count,customer_count,item_price_total,freight_total,item_and_freight_total,average_item_price,average_items_per_order,freight_share_pct,item_revenue_share_pct,item_revenue_rank
health_beauty,8646,9462,2397,479,8497,1232996.75,178949.32,1411946.07,130.31,1.09,12.67,9.33,1
watches_gifts,5495,5859,1300,95,5421,1166176.98,98156.14,1264333.12,199.04,1.07,7.76,8.82,2
bed_bath_table,9272,10953,2991,189,9008,1023434.76,201774.50,1225209.26,93.44,1.18,16.47,7.74,3
sports_leisure,7530,8431,2822,466,7341,954852.55,163404.36,1118256.91,113.25,1.12,14.61,7.22,4
computers_accessories,6530,7644,1600,279,6405,888724.61,143999.16,1032723.77,116.26,1.17,13.94,6.72,5
furniture_decor,6307,8160,2593,352,6178,711927.69,168402.23,880329.92,87.25,1.29,19.13,5.38,6
housewares,5743,6795,2282,452,5681,615628.69,142763.56,758392.25,90.60,1.18,18.82,4.66,7
cool_stuff,3559,3718,770,259,3543,610204.10,81476.79,691680.89,164.12,1.04,11.78,4.62,8
auto,3810,4140,1853,371,3769,578966.65,90488.10,669454.75,139.85,1.09,13.52,4.38,9
toys,3804,4030,1373,242,3763,471286.48,75774.58,547061.06,116.94,1.06,13.85,3.56,10
garden_tools,3448,4268,725,227,3420,470495.28,96650.40,567145.68,110.24,1.24,17.04,3.56,11
baby,2809,2982,890,240,2783,400421.84,66305.81,466727.65,134.28,1.06,14.21,3.03,12
perfumery,3086,3340,857,173,3050,390144.65,53026.98,443171.63,116.81,1.08,11.97,2.95,13
telephony,4093,4430,1112,142,4047,309860.23,69342.39,379202.62,69.95,1.08,18.29,2.34,14
office_furniture,1254,1668,302,30,1245,268154.31,67057.05,335211.36,160.76,1.33,20.00,2.03,15
stationery,2264,2466,831,172,2250,223788.69,45786.36,269575.05,90.75,1.09,16.98,1.69,16
computers,177,199,30,9,176,218684.14,9665.62,228349.76,1098.92,1.12,4.23,1.65,17
pet_shop,1688,1924,710,132,1667,211695.64,38918.56,250614.20,110.03,1.14,15.53,1.60,18
musical_instruments,611,651,279,67,607,184315.74,17871.38,202187.12,283.13,1.07,8.84,1.39,19
small_appliances,609,658,220,97,606,182754.12,15354.35,198108.47,277.74,1.08,7.75,1.38,20
unknown,1392,1537,584,247,1386,170726.63,26969.06,197695.69,111.08,1.10,13.64,1.29,21
electronics,2517,2729,507,145,2507,155043.93,45679.16,200723.09,56.81,1.08,22.76,1.17,22
