cohort_month,cohort_size,month_0,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
2016-09-01,4,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-10-01,321,100.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.31,0.00,0.31,0.00
2016-12-01,1,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-01,764,100.00,0.39,0.26,0.13,0.39,0.13,0.52,0.13,0.13,0.00,0.39,0.13,0.79
2017-02-01,1752,100.00,0.23,0.29,0.11,0.40,0.11,0.23,0.17,0.17,0.23,0.11,0.29,0.17
2017-03-01,2636,100.00,0.49,0.38,0.38,0.34,0.15,0.15,0.30,0.34,0.08,0.38,0.15,0.23
2017-04-01,2352,100.00,0.60,0.21,0.17,0.34,0.26,0.34,0.30,0.30,0.17,0.26,0.09,0.09
2017-05-01,3596,100.00,0.50,0.50,0.39,0.31,0.33,0.42,0.17,0.25,0.31,0.25,0.33,0.25
2017-06-01,3139,100.00,0.48,0.35,0.41,0.25,0.38,0.38,0.22,0.13,0.22,0.32,0.35,0.16
2017-07-01,3894,100.00,0.51,0.36,0.26,0.28,0.21,0.31,0.10,0.18,0.26,0.23,0.31,0.13
2017-08-01,4184,100.00,0.69,0.33,0.26,0.36,0.53,0.29,0.26,0.14,0.14,0.24,0.19,0.10
2017-09-01,4130,100.00,0.68,0.53,0.29,0.46,0.22,0.22,0.24,0.29,0.17,0.27,0.07,0.00
2017-10-01,4470,100.00,0.69,0.25,0.09,0.22,0.20,0.22,0.36,0.27,0.20,0.20,0.00,0.00
2017-11-01,7304,100.00,0.55,0.38,0.18,0.19,0.18,0.11,0.19,0.14,0.05,0.00,0.00,
2017-12-01,5487,100.00,0.26,0.27,0.35,0.27,0.20,0.16,0.05,0.22,0.00,0.00,,
2018-01-01,7025,100.00,0.34,0.38,0.28,0.28,0.16,0.17,0.23,0.00,0.00,,,
2018-02-01,6451,100.00,0.39,0.39,0.29,0.26,0.22,0.20,0.00,0.00,,,,
2018-03-01,6965,100.00,0.46,0.32,0.29,0.13,0.13,0.00,0.00,,,,,
2018-04-01,6711,100.00,0.58,0.31,0.24,0.13,0.00,0.00,,,,,,
2018-05-01,6622,100.00,0.53,0.27,0.21,0.00,0.00,,,,,,,
2018-06-01,5940,100.00,0.42,0.29,0.00,0.02,,,,,,,,
2018-07-01,6071,100.00,0.72,0.03,0.00,,,,,,,,,
2018-08-01,6271,100.00,0.11,0.03,,,,,,,,,,
2018-09-01,5,100.00,0.00,,,,,,,,,,,
2018-10-01,1,100.00,,,,,,,,,,,,
