cohort_month,activity_month,months_since_first_order,cohort_size,active_customer_count,inactive_customer_count,order_count,payment_value,retention_rate_pct,orders_per_active_customer,payment_per_active_customer
2016-09-01,2016-09-01,0,4,4,0,4,252.24,100.00,1.00,63.06
2016-09-01,2016-10-01,1,4,0,4,0,0.00,0.00,,
2016-09-01,2016-11-01,2,4,0,4,0,0.00,0.00,,
2016-09-01,2016-12-01,3,4,0,4,0,0.00,0.00,,
2016-09-01,2017-01-01,4,4,0,4,0,0.00,0.00,,
2016-09-01,2017-02-01,5,4,0,4,0,0.00,0.00,,
2016-09-01,2017-03-01,6,4,0,4,0,0.00,0.00,,
2016-09-01,2017-04-01,7,4,0,4,0,0.00,0.00,,
2016-09-01,2017-05-01,8,4,0,4,0,0.00,0.00,,
2016-09-01,2017-06-01,9,4,0,4,0,0.00,0.00,,
2016-09-01,2017-07-01,10,4,0,4,0,0.00,0.00,,
2016-09-01,2017-08-01,11,4,0,4,0,0.00,0.00,,
2016-09-01,2017-09-01,12,4,0,4,0,0.00,0.00,,
2016-09-01,2017-10-01,13,4,0,4,0,0.00,0.00,,
2016-09-01,2017-11-01,14,4,0,4,0,0.00,0.00,,
2016-09-01,2017-12-01,15,4,0,4,0,0.00,0.00,,
2016-09-01,2018-01-01,16,4,0,4,0,0.00,0.00,,
2016-09-01,2018-02-01,17,4,0,4,0,0.00,0.00,,
2016-09-01,2018-03-01,18,4,0,4,0,0.00,0.00,,
2016-09-01,2018-04-01,19,4,0,4,0,0.00,0.00,,
2016-09-01,2018-05-01,20,4,0,4,0,0.00,0.00,,
2016-09-01,2018-06-01,21,4,0,4,0,0.00,0.00,,
2016-09-01,2018-07-01,22,4,0,4,0,0.00,0.00,,
2016-09-01,2018-08-01,23,4,0,4,0,0.00,0.00,,
2016-09-01,2018-09-01,24,4,0,4,0,0.00,0.00,,
2016-09-01,2018-10-01,25,4,0,4,0,0.00,0.00,,
2016-10-01,2016-10-01,0,321,321,0,324,59090.48,100.00,1.01,184.08
2016-10-01,2016-11-01,1,321,0,321,0,0.00,0.00,,
2016-10-01,2016-12-01,2,321,0,321,0,0.00,0.00,,
2016-10-01,2017-01-01,3,321,0,321,0,0.00,0.00,,
2016-10-01,2017-02-01,4,321,0,321,0,0.00,0.00,,
2016-10-01,2017-03-01,5,321,0,321,0,0.00,0.00,,
2016-10-01,2017-04-01,6,321,1,320,1,111.30,0.31,1.00,111.30
2016-10-01,2017-05-01,7,321,0,321,0,0.00,0.00,,
2016-10-01,2017-06-01,8,321,0,321,0,0.00,0.00,,
2016-10-01,2017-07-01,9,321,1,320,1,356.13,0.31,1.00,356.13
2016-10-01,2017-08-01,10,321,0,321,0,0.00,0.00,,
2016-10-01,2017-09-01,11,321,1,320,1,56.78,0.31,1.00,56.78
2016-10-01,2017-10-01,12,321,0,321,0,0.00,0.00,,
2016-10-01,2017-11-01,13,321,1,320,1,163.53,0.31,1.00,163.53
2016-10-01,2017-12-01,14,321,0,321,0,0.00,0.00,,
2016-10-01,2018-01-01,15,321,1,320,1,381.00,0.31,1.00,381.00
2016-10-01,2018-02-01,16,321,0,321,0,0.00,0.00,,
2016-10-01,2018-03-01,17,321,1,320,1,116.57,0.31,1.00,116.57
2016-10-01,2018-04-01,18,321,0,321,0,0.00,0.00,,
2016-10-01,2018-05-01,19,321,2,319,2,384.01,0.62,1.00,192.01
2016-10-01,2018-06-01,20,321,2,319,2,181.37,0.62,1.00,90.69
2016-10-01,2018-07-01,21,321,0,321,0,0.00,0.00,,
2016-10-01,2018-08-01,22,321,0,321,0,0.00,0.00,,
2016-10-01,2018-09-01,23,321,0,321,0,0.00,0.00,,
2016-10-01,2018-10-01,24,321,0,321,0,0.00,0.00,,
2016-12-01,2016-12-01,0,1,1,0,1,19.62,100.00,1.00,19.62
2016-12-01,2017-01-01,1,1,1,0,1,19.62,100.00,1.00,19.62
2016-12-01,2017-02-01,2,1,0,1,0,0.00,0.00,,
2016-12-01,2017-03-01,3,1,0,1,0,0.00,0.00,,
2016-12-01,2017-04-01,4,1,0,1,0,0.00,0.00,,
2016-12-01,2017-05-01,5,1,0,1,0,0.00,0.00,,
2016-12-01,2017-06-01,6,1,0,1,0,0.00,0.00,,
2016-12-01,2017-07-01,7,1,0,1,0,0.00,0.00,,
2016-12-01,2017-08-01,8,1,0,1,0,0.00,0.00,,
2016-12-01,2017-09-01,9,1,0,1,0,0.00,0.00,,
2016-12-01,2017-10-01,10,1,0,1,0,0.00,0.00,,
2016-12-01,2017-11-01,11,1,0,1,0,0.00,0.00,,
2016-12-01,2017-12-01,12,1,0,1,0,0.00,0.00,,
2016-12-01,2018-01-01,13,1,0,1,0,0.00,0.00,,
2016-12-01,2018-02-01,14,1,0,1,0,0.00,0.00,,
2016-12-01,2018-03-01,15,1,0,1,0,0.00,0.00,,
2016-12-01,2018-04-01,16,1,0,1,0,0.00,0.00,,
2016-12-01,2018-05-01,17,1,0,1,0,0.00,0.00,,
2016-12-01,2018-06-01,18,1,0,1,0,0.00,0.00,,
2016-12-01,2018-07-01,19,1,0,1,0,0.00,0.00,,
2016-12-01,2018-08-01,20,1,0,1,0,0.00,0.00,,
2016-12-01,2018-09-01,21,1,0,1,0,0.00,0.00,,
2016-12-01,2018-10-01,22,1,0,1,0,0.00,0.00,,
2017-01-01,2017-01-01,0,764,764,0,799,138468.42,100.00,1.05,181.24
2017-01-01,2017-02-01,1,764,3,761,3,170.83,0.39,1.00,56.94
2017-01-01,2017-03-01,2,764,2,762,2,114.70,0.26,1.00,57.35
2017-01-01,2017-04-01,3,764,1,763,1,89.70,0.13,1.00,89.70
2017-01-01,2017-05-01,4,764,3,761,3,246.25,0.39,1.00,82.08
2017-01-01,2017-06-01,5,764,1,763,1,69.33,0.13,1.00,69.33
2017-01-01,2017-07-01,6,764,4,760,4,533.57,0.52,1.00,133.39
2017-01-01,2017-08-01,7,764,1,763,1,105.17,0.13,1.00,105.17
2017-01-01,2017-09-01,8,764,1,763,1,47.05,0.13,1.00,47.05
2017-01-01,2017-10-01,9,764,0,764,0,0.00,0.00,,
2017-01-01,2017-11-01,10,764,3,761,3,427.05,0.39,1.00,142.35
2017-01-01,2017-12-01,11,764,1,763,1,66.60,0.13,1.00,66.60
2017-01-01,2018-01-01,12,764,6,758,6,810.37,0.79,1.00,135.06
2017-01-01,2018-02-01,13,764,3,761,3,351.65,0.39,1.00,117.22
2017-01-01,2018-03-01,14,764,1,763,1,93.70,0.13,1.00,93.70
2017-01-01,2018-04-01,15,764,1,763,1,104.61,0.13,1.00,104.61
2017-01-01,2018-05-01,16,764,2,762,2,219.35,0.26,1.00,109.68
2017-01-01,2018-06-01,17,764,3,761,3,354.43,0.39,1.00,118.14
2017-01-01,2018-07-01,18,764,0,764,0,0.00,0.00,,
2017-01-01,2018-08-01,19,764,1,763,1,50.93,0.13,1.00,50.93
2017-01-01,2018-09-01,20,764,0,764,0,0.00,0.00,,
2017-01-01,2018-10-01,21,764,0,764,0,0.00,0.00,,
2017-02-01,2017-02-01,0,1752,1752,0,1777,291737.18,100.00,1.01,166.52
2017-02-01,2017-03-01,1,1752,4,1748,4,536.12,0.23,1.00,134.03
2017-02-01,2017-04-01,2,1752,5,1747,5,570.63,0.29,1.00,114.13
2017-02-01,2017-05-01,3,1752,2,1750,2,118.73,0.11,1.00,59.37
2017-02-01,2017-06-01,4,1752,7,1745,7,1151.96,0.40,1.00,164.57
2017-02-01,2017-07-01,5,1752,2,1750,2,74.21,0.11,1.00,37.11
2017-02-01,2017-08-01,6,1752,4,1748,4,688.92,0.23,1.00,172.23
2017-02-01,2017-09-01,7,1752,3,1749,3,274.30,0.17,1.00,91.43
2017-02-01,2017-10-01,8,1752,3,1749,3,643.04,0.17,1.00,214.35
2017-02-01,2017-11-01,9,1752,4,1748,4,467.31,0.23,1.00,116.83
