activity_month,active_customer_count,new_customer_count,returning_customer_count,order_count,payment_value,previous_active_customer_count,previous_new_customer_count,previous_payment_value,active_customer_growth_pct,new_customer_growth_pct,payment_growth_pct
2016-09-01,4,4,0,4,252.24,,,,,,
2016-10-01,321,321,0,324,59090.48,4,4,252.24,7925.00,7925.00,23326.29
2016-11-01,0,0,0,0,0.00,321,321,59090.48,-100.00,-100.00,-100.00
2016-12-01,1,1,0,1,19.62,0,0,0.00,,,
2017-01-01,765,764,1,800,138488.04,1,1,19.62,76400.00,76300.00,705751.38
2017-02-01,1755,1752,3,1780,291908.01,765,764,138488.04,129.41,129.32,110.78
2017-03-01,2642,2636,6,2682,449863.60,1755,1752,291908.01,50.54,50.46,54.11
2017-04-01,2372,2352,20,2404,417788.03,2642,2636,449863.60,-10.22,-10.77,-7.13
2017-05-01,3625,3596,29,3700,592918.82,2372,2352,417788.03,52.82,52.89,41.92
2017-06-01,3180,3139,41,3245,511276.38,3625,3596,592918.82,-12.28,-12.71,-13.77
2017-07-01,3947,3894,53,4026,592382.92,3180,3139,511276.38,24.12,24.05,15.86
2017-08-01,4246,4184,62,4331,674396.32,3947,3894,592382.92,7.58,7.45,13.84
2017-09-01,4212,4130,82,4285,727762.45,4246,4184,674396.32,-0.80,-1.29,7.91
2017-10-01,4561,4470,91,4631,779677.88,4212,4130,727762.45,8.29,8.23,7.13
2017-11-01,7430,7304,126,7544,1194882.80,4561,4470,779677.88,62.90,63.40,53.25
2017-12-01,5603,5487,116,5673,878401.48,7430,7304,1194882.80,-24.59,-24.88,-26.49
2018-01-01,7166,7025,141,7269,1115004.18,5603,5487,878401.48,27.90,28.03,26.94
2018-02-01,6569,6451,118,6728,992463.34,7166,7025,1115004.18,-8.33,-8.17,-10.99
2018-03-01,7115,6965,150,7211,1159652.12,6569,6451,992463.34,8.31,7.97,16.85
2018-04-01,6882,6711,171,6939,1160785.48,7115,6965,1159652.12,-3.27,-3.65,0.10
2018-05-01,6814,6622,192,6873,1153982.15,6882,6711,1160785.48,-0.99,-1.33,-0.59
2018-06-01,6128,5940,188,6167,1023880.50,6814,6622,1153982.15,-10.07,-10.30,-11.27
2018-07-01,6230,6071,159,6292,1066540.75,6128,5940,1023880.50,1.66,2.21,4.17
2018-08-01,6460,6271,189,6512,1022425.32,6230,6071,1066540.75,3.69,3.29,-4.14
2018-09-01,14,5,9,16,4439.54,6460,6271,1022425.32,-99.78,-99.92,-99.57
2018-10-01,4,1,3,4,589.67,14,5,4439.54,-71.43,-80.00,-86.72
