activity_month,active_customer_count,new_customer_count,returning_customer_count,multi_order_customer_count,order_count,delivered_order_count,item_count,payment_value,average_payment_per_order,orders_per_active_customer,new_customer_rate_pct,returning_customer_rate_pct
2016-09-01,4,4,0,0,4,1,6,252.24,63.06,1.00,100.00,0.00
2016-10-01,321,321,0,3,324,265,363,59090.48,182.38,1.01,100.00,0.00
2016-12-01,1,1,0,0,1,1,1,19.62,19.62,1.00,100.00,0.00
2017-01-01,765,764,1,26,800,750,955,138488.04,173.11,1.05,99.87,0.13
2017-02-01,1755,1752,3,22,1780,1653,1951,291908.01,163.99,1.01,99.83,0.17
2017-03-01,2642,2636,6,39,2682,2546,3000,449863.60,167.73,1.02,99.77,0.23
2017-04-01,2372,2352,20,28,2404,2303,2684,417788.03,173.79,1.01,99.16,0.84
2017-05-01,3625,3596,29,73,3700,3546,4136,592918.82,160.25,1.02,99.20,0.80
2017-06-01,3180,3139,41,64,3245,3135,3583,511276.38,157.56,1.02,98.71,1.29
2017-07-01,3947,3894,53,76,4026,3872,4519,592382.92,147.14,1.02,98.66,1.34
2017-08-01,4246,4184,62,78,4331,4193,4910,674396.32,155.71,1.02,98.54,1.46
2017-09-01,4212,4130,82,69,4285,4150,4831,727762.45,169.84,1.02,98.05,1.95
2017-10-01,4561,4470,91,68,4631,4478,5322,779677.88,168.36,1.02,98.00,2.00
2017-11-01,7430,7304,126,109,7544,7289,8665,1194882.80,158.39,1.02,98.30,1.70
2017-12-01,5603,5487,116,66,5673,5513,6308,878401.48,154.84,1.01,97.93,2.07
2018-01-01,7166,7025,141,101,7269,7069,8208,1115004.18,153.39,1.01,98.03,1.97
2018-02-01,6569,6451,118,150,6728,6555,7672,992463.34,147.51,1.02,98.20,1.80
2018-03-01,7115,6965,150,93,7211,7003,8217,1159652.12,160.82,1.01,97.89,2.11
2018-04-01,6882,6711,171,55,6939,6798,7975,1160785.48,167.28,1.01,97.52,2.48
2018-05-01,6814,6622,192,56,6873,6749,7925,1153982.15,167.90,1.01,97.18,2.82
2018-06-01,6128,5940,188,38,6167,6099,7078,1023880.50,166.03,1.01,96.93,3.07
2018-07-01,6230,6071,159,61,6292,6159,7092,1066540.75,169.51,1.01,97.45,2.55
2018-08-01,6460,6271,189,49,6512,6351,7248,1022425.32,157.01,1.01,97.07,2.93
2018-09-01,14,5,9,2,16,0,1,4439.54,277.47,1.14,35.71,64.29
2018-10-01,4,1,3,0,4,0,0,589.67,147.42,1.00,25.00,75.00
