purchase_month,completed_order_count,customer_count,payment_value_total,valid_delivery_order_count,late_delivery_order_count,late_delivery_rate_pct,average_delivery_days,average_estimated_delivery_days,average_carrier_handling_days,average_delivery_delay_days,average_delay_days_when_late,reviewed_order_count,average_review_score,low_review_order_count,low_review_rate_pct
2016-10-01,265,262,46566.71,261,2,0.77,19.72,56.35,13.88,-36.63,9.50,262,4.01,43,16.41
2016-11-01,0,0,0,0,0,,,,,,,0,,0,
2016-12-01,1,1,19.62,1,0,0.00,5.00,27.00,4.00,-22.00,,1,5.00,0,0.00
2017-01-01,750,718,127545.67,749,22,2.94,12.74,40.11,3.55,-27.36,20.23,741,4.20,89,12.01
2017-02-01,1653,1630,271298.65,1650,49,2.97,13.32,32.50,3.77,-19.19,20.80,1643,4.20,182,11.08
2017-03-01,2546,2508,414369.39,2545,116,4.56,13.05,25.37,3.25,-12.33,25.43,2527,4.19,284,11.24
2017-04-01,2303,2274,390952.18,2279,150,6.58,15.05,28.01,3.83,-12.96,12.39,2290,4.14,293,12.79
2017-05-01,3546,3479,567066.73,3530,106,3.00,11.43,24.93,3.11,-13.50,12.54,3518,4.24,352,10.01
2017-06-01,3135,3076,490225.60,3130,94,3.00,11.99,24.64,3.19,-12.65,13.97,3111,4.22,330,10.61
2017-07-01,3872,3802,566403.93,3841,108,2.81,11.51,23.97,3.03,-12.46,11.69,3842,4.26,381,9.92
2017-08-01,4193,4114,646000.61,4190,122,2.91,11.02,24.11,2.97,-13.09,8.79,4165,4.31,391,9.39
2017-09-01,4150,4083,701169.99,4137,181,4.38,11.72,23.07,3.07,-11.35,9.41,4118,4.27,420,10.20
2017-10-01,4478,4417,751140.27,4478,187,4.18,11.73,23.66,3.32,-11.92,9.24,4446,4.21,490,11.02
2017-11-01,7289,7183,1153528.05,7287,904,12.41,15.07,23.20,3.96,-8.12,11.18,7238,3.99,1196,16.52
2017-12-01,5513,5450,843199.17,5508,409,7.43,15.30,28.32,3.61,-13.02,9.73,5461,4.09,787,14.41
2018-01-01,7069,6974,1078606.86,7045,402,5.71,14.01,26.94,3.53,-12.93,11.87,7013,4.11,959,13.67
2018-02-01,6555,6400,966510.88,6543,926,14.15,16.88,25.16,3.50,-8.28,12.58,6507,3.88,1253,19.26
2018-03-01,7003,6914,1120678.00,7001,1328,18.97,16.24,22.67,3.26,-6.43,10.02,6948,3.81,1468,21.13
2018-04-01,6798,6744,1132933.95,6409,301,4.70,11.55,24.27,2.85,-12.72,10.50,6752,4.21,793,11.74
2018-05-01,6749,6693,1128836.69,6681,439,6.57,11.36,23.52,2.79,-12.17,7.13,6722,4.24,723,10.76
2018-06-01,6099,6061,1012090.68,5973,70,1.17,9.19,28.41,2.67,-19.22,13.46,6075,4.31,607,9.99
2018-07-01,6159,6100,1027903.86,5593,202,3.61,9.10,20.17,3.11,-11.08,8.19,6121,4.32,591,9.66
2018-08-01,6351,6310,985414.28,6265,391,6.24,7.67,15.80,2.61,-8.13,4.43,6330,4.31,604,9.54
