sales_month,order_count,customer_count,item_count,item_price_total,freight_total,item_and_freight_total,payment_value_total,average_order_value,freight_share_pct,payment_difference,payment_growth_pct
2016-10-01,265,262,313,40325.11,6165.55,46490.66,46566.71,175.72,13.26,76.05,
2016-11-01,0,0,0,0,0,0,0,,,0.00,-100.00
2016-12-01,1,1,1,10.90,8.72,19.62,19.62,19.62,44.44,0.00,
2017-01-01,750,718,913,111798.36,15684.01,127482.37,127545.67,170.06,12.30,63.30,649979.87
2017-02-01,1653,1630,1858,234223.40,37015.92,271239.32,271298.65,164.13,13.65,59.33,112.71
2017-03-01,2546,2508,2897,359198.85,55132.10,414330.95,414369.39,162.75,13.31,38.44,52.74
2017-04-01,2303,2274,2569,340669.68,50142.72,390812.40,390952.18,169.76,12.83,139.78,-5.65
2017-05-01,3546,3479,4004,489338.25,77513.15,566851.40,567066.73,159.92,13.67,215.33,45.05
2017-06-01,3135,3076,3489,421923.37,68127.00,490050.37,490225.60,156.37,13.90,175.23,-13.55
2017-07-01,3872,3802,4416,481604.52,84694.56,566299.08,566403.93,146.28,14.96,104.85,15.54
2017-08-01,4193,4114,4797,554699.70,91132.66,645832.36,646000.61,154.07,14.11,168.25,14.05
2017-09-01,4150,4083,4737,607399.67,93677.82,701077.49,701169.99,168.96,13.36,92.50,8.54
2017-10-01,4478,4417,5214,648247.65,102869.36,751117.01,751140.27,167.74,13.70,23.26,7.13
2017-11-01,7289,7183,8475,987765.37,165598.83,1153364.20,1153528.05,158.26,14.36,163.85,53.57
2017-12-01,5513,5450,6187,726033.19,117045.10,843078.29,843199.17,152.95,13.88,120.88,-26.90
2018-01-01,7069,6974,8037,924645.00,153242.46,1077887.46,1078606.86,152.58,14.22,719.40,27.92
2018-02-01,6555,6400,7518,826437.13,139731.28,966168.41,966510.88,147.45,14.46,342.47,-10.39
2018-03-01,7003,6914,8017,953356.25,167241.99,1120598.24,1120678.00,160.03,14.92,79.76,15.95
2018-04-01,6798,6744,7827,973534.09,159344.84,1132878.93,1132933.95,166.66,14.07,55.02,1.09
2018-05-01,6749,6693,7810,977544.69,151229.83,1128774.52,1128836.69,167.26,13.40,62.17,-0.36
2018-06-01,6099,6061,7010,856077.86,155900.43,1011978.29,1012090.68,165.94,15.41,112.39,-10.34
2018-07-01,6159,6100,6963,867953.46,159853.82,1027807.28,1027903.86,166.89,15.55,96.58,1.56
2018-08-01,6351,6310,7142,838576.64,146915.00,985491.64,985414.28,155.16,14.91,-77.36,-4.13
