seller_id,seller_city,seller_state,completed_order_count,customer_count,item_count,item_price_total,valid_delivery_order_count,late_delivery_rate_pct,average_delivery_days,shipping_limit_breach_rate_pct,reviewed_order_count,average_review_score,low_review_rate_pct,seller_revenue_rank,seller_revenue_share_pct,late_delivery_quartile,shipping_breach_quartile,low_review_quartile,operational_risk_score,is_high_value_seller,seller_risk_segment
1900267e848ceeba8fa32d80c1a5f5a8,ibitinga,SP,406,398,523,24639.57,405,8.15,13.08,5.42,399,3.87,18.80,103,0.1864,3,3,4,10,f,High Risk
dc4a0fc896dc34b0d5bfec8438291c80,ibitinga,SP,225,224,242,23655.98,225,6.67,13.84,6.22,225,3.82,20.44,106,0.1789,3,3,4,10,f,High Risk
710e3548e02bc1d2831dfc4f1b5b14d4,rolandia,PR,131,129,137,22369.25,129,3.88,14.57,24.43,130,3.43,30.77,112,0.1692,2,4,4,10,f,High Risk
7ad32824caee82087b3e2e5f33b1bf32,ibitinga,SP,147,145,180,22018.10,142,13.38,12.20,3.40,144,3.86,19.44,114,0.1665,4,2,4,10,f,High Risk
897060da8b9a21f655304d50fd935913,ribeirao preto,SP,304,300,413,21740.51,302,10.60,14.89,6.58,301,3.71,23.26,117,0.1644,4,3,4,11,f,High Risk
8444e55c1f13cd5c179851e5ca5ebd00,congonhal,MG,92,91,102,21480.96,92,6.52,21.00,23.91,92,3.37,32.61,120,0.1625,3,4,4,11,f,High Risk
8f2ce03f928b567e3d56181ae20ae952,pirituba,SP,151,150,172,21213.20,150,12.67,14.35,5.30,150,4.15,12.00,122,0.1604,4,3,3,10,f,High Risk
d2374cbcbb3ca4ab1086534108cc3ab7,ibitinga,SP,514,500,620,20926.02,512,5.27,14.61,9.53,509,3.78,19.45,124,0.1583,3,3,4,10,f,High Risk
96493fab2fbb13a14d0c0e8772eef5c3,sao paulo,SP,63,63,64,18969.00,63,6.35,13.37,25.40,62,4.06,14.52,131,0.1435,3,4,3,10,f,High Risk
0dd184061fb0eaa7ca37932c68ab91c5,guarulhos,SP,161,160,193,18446.92,156,10.90,11.88,9.32,160,4.03,13.75,133,0.1395,4,3,3,10,f,High Risk
cd68562d3f44870c08922d380acae552,ribeirao preto,SP,122,122,129,18119.70,122,15.57,16.18,14.75,121,4.02,16.53,136,0.1370,4,4,3,11,f,High Risk
a888faf2d1baececa6baf9c3d603ee1f,umuarama,PR,53,53,54,17564.80,53,9.43,18.06,28.30,53,4.09,15.09,139,0.1329,4,4,3,11,f,High Risk
165fc07beebdcb6190fba8a06db2a449,maringa,PR,50,50,64,17481.40,50,8.00,12.84,8.00,50,3.80,22.00,142,0.1322,3,3,4,10,f,High Risk
4a3ccda38b2129705f3fb522db62ca31,marilia,SP,64,64,73,16169.09,64,6.25,13.27,14.06,64,3.93,20.31,153,0.1223,3,4,4,11,f,High Risk
7aa4334be125fcdd2ba64b3180029f14,laranjal paulista,SP,214,211,237,16012.95,213,11.74,15.98,35.98,213,4.13,14.08,156,0.1211,4,4,3,11,f,High Risk
0adac9fbd9a2b63cccaac4f8756c1ca8,louveira,SP,106,106,134,15557.60,105,5.71,13.12,15.09,106,4.09,12.26,162,0.1177,3,4,3,10,f,High Risk
213b25e6f54661939f11710a6fddb871,salto,SP,152,152,190,15105.95,150,6.67,15.33,34.87,151,3.81,20.53,169,0.1143,3,4,4,11,f,High Risk
4c2b230173bb36f9b240f2b8ac11786e,sao paulo,SP,258,253,343,14474.57,258,9.30,12.76,31.78,254,3.98,18.11,176,0.1095,4,4,4,12,f,High Risk
8e6d7754bc7e0f22c96d255ebda59eba,sao jose dos campos,SP,84,84,129,14107.38,84,13.10,15.19,36.90,84,3.60,26.19,181,0.1067,4,4,4,12,f,High Risk
2e90cb1677d35cfe24eef47d441b7c87,sao paulo,SP,127,124,137,13894.71,125,12.80,12.42,5.51,127,4.12,14.17,185,0.1051,4,3,3,10,f,High Risk
6039e27294dc75811c0d8a39069f52c0,osasco,SP,63,63,74,13500.80,63,17.46,17.90,34.92,63,3.73,19.05,192,0.1021,4,4,4,12,f,High Risk
a3e9a2c700480d9bb01fba070ba80a0e,ibitinga,SP,129,129,143,13371.80,127,9.45,13.20,7.75,127,4.00,16.54,196,0.1011,4,3,3,10,f,High Risk
a673821011d0cec28146ea42f5ab767f,sao paulo,SP,125,124,141,13366.00,124,10.48,12.94,16.80,121,4.04,15.70,197,0.1011,4,4,3,11,f,High Risk
0b35c634521043bf4b47e21547b99ab5,teixeira soares,PR,50,49,77,13235.65,50,16.00,19.20,8.00,49,3.41,34.69,202,0.1001,4,3,4,11,f,High Risk
05f51e13da97139648b8125c31e5f51b,belo horizonte,MG,57,57,60,13100.31,57,15.79,12.37,19.30,57,4.23,14.04,204,0.0991,4,4,3,11,f,High Risk
440dd6ab244315c632130ecfb63827b1,votuporanga,SP,91,91,92,13089.00,91,13.19,16.52,9.89,91,3.89,15.38,205,0.0990,4,3,3,10,f,High Risk
c31eff8334d6b3047ed34bebd4d62c36,salto,SP,120,120,121,12991.61,119,11.76,12.71,26.67,119,3.87,17.65,207,0.0983,4,4,4,12,f,High Risk
431af27f296bc6519d890aa5a05fdb11,ribeirao preto,SP,116,116,124,12974.60,116,13.79,17.19,25.86,115,3.80,23.48,208,0.0981,4,4,4,12,f,High Risk
75d34ebb1bd0bd7dde40dd507b8169c3,salvador,BA,57,57,67,12656.33,57,12.28,16.11,19.30,57,3.93,19.30,216,0.0957,4,4,4,12,f,High Risk
