customer_state,completed_order_count,customer_count,payment_value_total,freight_total,freight_share_pct,valid_delivery_order_count,late_delivery_order_count,late_delivery_rate_pct,average_delivery_days,average_estimated_delivery_days,average_delivery_delay_days,average_delay_days_when_late,reviewed_order_count,average_review_score,low_review_order_count,low_review_rate_pct
SP,40500,39155,5770266.19,702061.50,12.17,39907,1813,4.54,8.74,19.78,-11.04,8.33,40272,4.25,4285,10.64
RJ,12350,11917,2055690.45,295750.44,14.39,12212,1492,12.22,15.30,26.97,-11.67,13.53,12211,3.97,2234,18.29
MG,11354,11001,1819277.61,266409.84,14.65,11189,517,4.62,12.01,25.21,-13.20,8.42,11285,4.19,1321,11.71
RS,5345,5168,861802.40,132575.32,15.39,5262,325,6.18,15.33,29.17,-13.84,10.24,5327,4.19,633,11.88
PR,4923,4769,781919.55,115645.29,14.79,4842,199,4.11,12.01,25.28,-13.26,8.32,4900,4.24,531,10.84
SC,3546,3449,595208.40,88115.65,14.81,3492,291,8.33,14.99,26.41,-11.43,8.31,3519,4.13,458,13.02
BA,3256,3158,591270.60,97553.67,16.50,3210,391,12.18,19.33,30.08,-10.75,12.02,3229,3.93,550,17.03
DF,2080,2019,346146.17,49624.94,14.34,2041,118,5.78,12.99,24.97,-11.99,7.42,2070,4.13,270,13.04
ES,1995,1928,317682.65,49014.48,15.43,1968,213,10.82,15.78,26.24,-10.46,11.31,1969,4.08,271,13.76
GO,1957,1895,334294.22,51375.65,15.37,1921,126,6.56,15.61,27.77,-12.16,11.28,1946,4.10,255,13.10
PE,1593,1551,309074.59,57082.56,18.47,1573,153,9.73,18.47,31.71,-13.24,11.97,1579,4.08,234,14.82
CE,1279,1258,266463.97,46679.39,17.52,1260,176,13.97,21.33,32.04,-10.71,15.18,1273,3.94,218,17.12
PA,946,922,212027.55,37552.98,17.71,936,104,11.11,23.76,37.82,-14.06,13.03,933,3.91,167,17.90
MT,886,856,181441.72,29032.80,16.02,871,53,6.08,18.11,32.38,-14.27,10.64,879,4.15,112,12.74
MA,717,700,147807.29,30794.17,20.83,705,125,17.73,21.60,31.15,-9.54,10.50,712,3.83,142,19.94
MS,701,681,134421.54,18937.58,14.09,696,68,9.77,15.59,26.63,-11.04,8.34,699,4.16,93,13.30
PB,517,504,137834.65,25251.73,18.32,509,53,10.41,20.47,33.75,-13.28,10.49,512,4.08,76,14.84
PI,476,464,105272.17,20457.19,19.45,469,66,14.07,19.53,30.71,-11.18,13.35,471,3.99,76,16.14
RN,474,464,100728.30,18609.12,18.48,467,44,9.42,19.26,32.90,-13.64,14.48,471,4.15,61,12.95
AL,397,387,94195.79,15316.77,16.26,393,83,21.12,24.34,33.25,-8.92,8.98,394,3.85,83,21.07
SE,335,329,70289.13,13714.94,19.51,333,51,15.32,21.53,31.50,-9.97,16.20,334,3.91,63,18.86
TO,274,267,60007.37,11604.86,19.34,270,27,10.00,17.73,29.82,-12.09,6.52,273,4.15,33,12.09
RO,243,231,56975.70,11283.24,19.81,242,7,2.89,19.33,39.41,-20.09,5.57,242,4.17,29,11.98
AM,145,140,27596.18,5429.63,19.68,144,4,2.78,26.36,45.94,-19.58,30.25,144,4.24,19,13.19
AC,80,76,19586.25,3644.36,18.62,77,3,3.90,21.13,41.55,-20.42,18.67,80,4.09,12,15.00
AP,67,66,16141.81,2767.00,17.14,67,2,2.99,27.18,46.87,-19.69,72.50,66,4.24,4,6.06
RR,41,40,9039.52,1982.05,21.93,40,5,12.50,29.80,47.00,-17.20,36.40,41,3.90,6,14.63
